,Generator_speed,Rotor_speed,Gearbox_oil_temperature,Generator_bearing_temperature_drive,Generator_bearing_temperature_nondrive,wind_speed,active_power,category
865,1748.39412,13.43064,63.5,35.6,48.8,9.83851,1635.94675,14
870,1750.78029,13.46265,63.5,35.6,48.8,9.68363,1868.95662,8
875,1752.83641,13.41063,63.5,35.6,49.8,7.59612,1170.17288,6
880,1772.22595,13.48867,63.5,35.6,49.8,9.64365,1861.47338,8
885,1764.4520899999998,13.514679999999998,63.5,35.6,49.8,9.6665,1385.5279999999998,0
890,1742.0309899999993,13.3566,63.5,36.6,50.8,9.51317,1889.38575,8
895,1741.65575,13.36661,63.5,36.6,50.8,7.607410000000002,1663.566,0
900,1757.56371,13.42864,63.5,36.6,50.8,9.90262,1505.91925,14
905,1738.51923,13.37661,63.5,36.6,50.8,8.017539999999999,1025.2808699999996,6
910,1752.40125,13.41663,63.5,36.6,50.8,7.54091,1252.64325,6
915,1735.15748,13.3566,63.5,36.6,51.8,6.21534,1075.68575,1
920,1740.3501199999996,13.39862,63.5,36.6,51.8,8.54149,1294.44838,0
925,1757.39854,13.44665,63.5,36.6,51.8,6.27461,1112.25837,1
930,1746.42809,13.3506,63.5,36.6,51.8,7.952339999999999,928.95719,4
935,1670.55079,12.72029,63.5,36.6,51.8,6.42663,790.5785599999998,1
940,1571.99699,12.08197,63.5,36.6,51.8,4.8778,699.22025,13
945,1365.28477,10.42115,62.5,36.6,51.8,4.86345,449.37519,9
950,1632.40178,12.5382,62.5,36.6,50.8,4.9703,761.58525,13
955,1310.68782,10.04697,61.5,36.6,50.8,5.91135,401.39525,13
960,1277.1911699999996,9.7068,60.5,36.6,50.8,6.01072,353.41253,13
965,1175.27583,8.95242,59.5,36.6,49.8,5.4931800000000015,273.72078,9
970,1125.03108,8.62026,58.5,36.6,48.8,4.38224,247.25475,5
975,1296.55083,9.90289,58.5,36.6,48.8,6.12167,369.65153,13
980,1397.6558300000004,10.73331,58.5,36.6,47.8,5.58452,478.03656,13
985,1428.97638,10.87938,58.5,35.6,47.8,4.6094,499.26962,9
990,1465.6394300000004,11.16352,58.5,35.6,46.8,5.74161,544.52756,13
995,1465.1140300000004,11.29558,58.5,35.6,46.8,6.0207,564.6904400000002,13
1000,1453.51337,11.16152,58.5,35.6,46.8,5.2252,541.41,13
1005,1718.04915,13.23054,58.5,35.6,45.8,6.7783,912.565,1
1010,1278.692,9.86087,58.5,34.6,45.8,5.3101699999999985,369.56216,13
1015,1458.4659,11.16752,57.5,34.6,45.8,5.44336,539.6453700000002,13
1020,1748.21393,13.44064,57.5,34.6,45.8,8.36139,1160.9203699999996,6
1025,1738.74432,13.36461,58.5,34.6,45.8,8.20996,1226.44363,6
1030,1728.11909,13.29257,59.5,34.6,45.8,8.92322,1858.1779999999999,14
1035,1749.11443,13.48066,59.5,34.6,45.8,9.79256,1796.7345,8
1040,1748.28915,13.412629999999998,60.5,34.6,45.8,9.01139,1737.76975,14
1045,1747.7036899999996,13.47866,60.5,34.6,45.8,8.42549,1335.51625,0
1050,1738.74432,13.40462,60.5,34.6,45.8,6.14164,1048.11694,1
1055,1759.18452,13.38862,60.5,34.6,45.8,7.5987399999999985,1096.34025,6
1060,1738.41427,13.30257,60.5,34.6,45.8,6.809,914.4110000000001,1
1065,1740.63527,13.3566,60.5,34.6,45.8,7.99283,1058.01613,6
1070,1764.51215,13.42463,61.5,34.6,45.8,7.89175,1224.52662,6
1075,1612.98221,12.35811,61.5,34.6,45.8,7.0732800000000005,741.8693099999998,10
1080,1522.41234,11.62575,61.5,34.6,45.8,5.64624,616.1935,13
1085,1626.90912,12.44615,61.5,34.6,45.8,6.11257,754.91412,1
1090,1705.6679600000002,13.06246,61.5,34.6,45.8,6.98504,878.9123800000001,1
1095,1407.66571,10.78333,60.5,34.6,45.8,5.04504,492.31969,13
1100,1741.04054,13.23054,60.5,34.6,45.8,6.88094,893.98475,1
1105,1743.77178,13.39662,60.5,34.6,45.8,9.01037,1716.64938,14
1110,1779.59469,13.5527,61.5,34.6,45.8,9.43191,2052.75337,8
1115,1747.14855,13.43264,62.5,34.6,45.8,10.97487,2058.00912,2
1120,1758.55416,13.45065,62.5,34.6,45.8,10.58192,2057.9425,2
1125,1740.4701,13.38262,62.5,34.6,46.8,11.02719,2061.14363,2
1130,1749.72978,13.3446,63.5,34.6,46.8,6.895510000000002,1598.79462,6
1135,1727.3837600000004,13.298570000000002,63.5,34.6,47.8,8.36876,1265.6,0
1140,1721.8911100000007,13.28256,63.5,34.6,47.8,5.90686,921.25662,1
1145,1721.80101,13.108479999999998,63.5,34.6,47.8,9.83377,2034.38812,8
1150,1768.7442199999996,13.43264,63.5,34.6,47.8,9.2168,1295.38162,0
1155,1747.31372,13.44665,63.5,34.6,48.8,9.14959,1784.39975,14
1160,1744.3571,13.406629999999998,63.5,35.6,48.8,8.19784,1427.53412,0
1165,1763.1913600000007,13.42463,63.5,35.6,48.8,9.92649,1770.69275,8
1170,1752.17601,13.422629999999998,63.5,35.6,48.8,9.8013,1992.64388,8
1175,1747.89889,13.394620000000002,63.5,35.6,48.8,9.38793,2056.239,8
1180,1734.42215,13.3566,64.5,35.6,49.8,9.64452,2059.45675,8
1185,1761.33044,13.42063,64.5,35.6,49.8,10.25302,2056.59988,2
1190,1756.30312,13.45465,64.5,35.6,49.8,11.2795,2018.12575,2
1195,1765.78775,13.44464,64.5,36.6,50.8,9.14143,1567.6595,14
1200,1746.7284,13.42463,64.5,36.6,50.8,7.61035,1381.4225,6
1205,1752.7912199999996,13.40262,64.5,36.6,50.8,7.40625,1074.49525,6
1210,1645.4582300000004,12.68827,64.5,36.6,50.8,7.416989999999998,786.1243099999998,4
1215,1517.94016,11.55371,63.5,36.6,50.8,5.38775,600.53362,13
1220,1745.87295,13.37061,63.5,36.6,50.8,7.2711,955.20038,4
1225,1253.67452,9.64076,62.5,36.6,50.8,5.72445,345.40709,13
1230,1108.28276,8.44017,61.5,36.6,50.8,3.24005,63.76541,3
1249,1779.45955,13.66475,56.5,36.6,47.8,7.79846,1200.67838,6
1254,1756.27309,13.44064,58.5,36.6,47.8,8.21004,1310.6115,0
1259,1602.02678,12.31409,59.5,36.6,47.8,4.77444,738.2456900000002,13
1264,1524.31845,11.71579,59.5,36.6,47.8,5.53909,624.50681,13
1269,1518.79576,11.62775,59.5,36.6,46.8,7.1212399999999985,598.59181,10
1274,1637.75959,12.49818,59.5,36.6,46.8,7.56755,744.0405599999998,4
1279,1738.80453,13.29657,59.5,36.6,46.8,8.225010000000001,1277.488,0
1284,1535.45392,11.70378,59.5,36.6,46.8,5.643,626.01131,13
1289,1099.30837,8.43417,59.5,36.6,46.8,2.7806,44.34129,3
1296,1097.52239,8.42817,57.5,36.6,45.8,3.23226,37.03597,3
1319,1101.76955,8.42216,52.5,35.6,42.8,2.68658,94.44202,3
1324,1107.00716,8.420160000000001,53.5,34.6,42.8,4.18053,157.78631,5
1329,1099.53346,8.43417,53.5,34.6,42.8,4.12519,147.84784,5
1334,1099.96869,8.42817,53.5,34.6,42.8,4.301830000000002,154.3072,5
1339,1101.22928,8.44617,53.5,34.6,42.8,2.99393,47.95826,3
1344,1109.13814,8.44818,53.5,34.6,42.8,3.88498,154.1047,5
1349,1109.07815,8.436169999999999,53.5,35.6,43.8,4.20556,168.37783000000005,5
