Unnamed: 0,Generator_speed,Rotor_speed,Gearbox_oil_temperature,Generator_bearing_temperature_drive,Generator_bearing_temperature_nondrive,wind_speed,active_power,category,distance
920,1740.3501199999994,13.398620000000001,63.5,36.6,51.8,8.54149,1294.44838,12,0.7197820295474621
930,1746.4280899999999,13.3506,63.5,36.6,51.8,7.952339999999999,928.9571900000001,8,0.9109657207847556
935,1670.55079,12.720289999999999,63.5,36.6,51.8,6.42663,790.5785599999997,13,0.3431305685017041
945,1365.28477,10.42115,62.5,36.6,51.8,4.86345,449.37519000000003,11,1.5985014667539614
955,1310.6878199999999,10.04697,61.5,36.6,50.8,5.91135,401.39525,5,0.6436490176610165
960,1277.1911699999996,9.7068,60.5,36.6,50.8,6.01072,353.41253,5,1.0868128940362585
965,1175.27583,8.95242,59.5,36.6,49.8,5.4931800000000015,273.72078,11,1.606934540232717
970,1125.03108,8.62026,58.5,36.6,48.8,4.38224,247.25475,2,1.6403149536037314
975,1296.5508300000001,9.90289,58.5,36.6,48.8,6.12167,369.65153,5,1.1945285546613893
980,1397.6558300000006,10.733310000000001,58.5,36.6,47.8,5.5845199999999995,478.03655999999995,5,0.3484691459697928
990,1465.6394300000006,11.16352,58.5,35.6,46.8,5.74161,544.52756,5,0.7862033314736445
995,1465.1140300000006,11.295580000000001,58.5,35.6,46.8,6.0207,564.6904400000002,5,1.2097572210010206
1000,1453.51337,11.16152,58.5,35.6,46.8,5.2252,541.41,5,1.3341274948636137
1005,1718.04915,13.23054,58.5,35.6,45.8,6.7783,912.565,13,0.9551417253245016
1010,1278.692,9.86087,58.5,34.6,45.8,5.310169999999999,369.56216,5,1.1250388181520612
1015,1458.4659,11.16752,57.5,34.6,45.8,5.44336,539.6453700000002,5,0.9471211625265836
1020,1748.2139300000001,13.44064,57.5,34.6,45.8,8.36139,1160.9203699999996,4,1.0516325899047236
1025,1738.74432,13.36461,58.5,34.6,45.8,8.20996,1226.44363,4,0.8843713952391273
